LISTA DE IDS DISPONIBLES EN LA FUENTE
====================================

98Rock.us  |  (US - 98 Rock)
991TheMix.us  |  (US - 99.1 The Mix)
995TheMountain.us  |  (US - 99.5 The Mountain)
995TheWolf.us  |  (US - 99.5 The Wolf)
995WYCD.us  |  (US - 99.5 WYCD)
997ThePoint.us  |  (US - 99.7 The Point)
A&E.cl  |  (CL - A&E)
A&E.co  |  (CO - A&E)
A&E.mx  |  (MX - A&E)
A&E.pe  |  (PE - A&E)
A&EMundo.co  |  (CO - A&E Mundo)
A+.mx  |  (MX - A+)
A+V.uy  |  (UY - A+V)
A24.ar  |  (AR - A24)
A3CINE.uy  |  (UY - A3CINE)
A3Cine.us  |  (US - A3Cine)
A3SERIES.uy  |  (UY - A3 SERIES)
AAGTelevision.us  |  (US - AAG Television)
AAJTak.us  |  (US - AAJ TAK)
ABCEast_WABC.us  |  (US - ABC East WABC)
ABCKAAL.us  |  (US - ABC KAAL Rochester MN)
ABCKABC.us  |  (US - ABC KABC Los Angeles CA)
ABCKAEF.us  |  (US - ABC KAEF Eureka CA)
ABCKAIT.us  |  (US - ABC KAIT Jonesboro AR)
ABCKAKE.us  |  (US - ABC KAKE Wichita KS)
ABCKAMC.us  |  (US - ABC KAMC Lubbock TX)
ABCKAPP.us  |  (US - ABC KAPP KVEW Yakima WA)
ABCKATC.us  |  (US - ABC KATC Lafayette LA)
ABCKATN.us  |  (US - ABC KATN Fairbanks AK)
ABCKATU.us  |  (US - ABC KATU Portland OR)
ABCKATV.us  |  (US - ABC KATV Little Rock AR)
ABCKAVU.us  |  (US - ABC KAVU Victoria TX)
ABCKBMT.us  |  (US - ABC KBMT Beaumont TX)
ABCKBMY.us  |  (US - ABC KBMY Bismarck ND)
ABCKCAU.us  |  (US - ABC KCAU Sioux City IA)
ABCKCRG.us  |  (US - ABC KCRG Cedar Rapids IA)
ABCKDNL.us  |  (US - ABC KDNL St. Louis MO)
ABCKDRV.us  |  (US - ABC KDRV Medford OR)
ABCKECYDT2.us  |  (US - ABC KECY-DT2 Yuma AZ)
ABCKECYDT2.us  |  (US - ABC KECY-DT2 Yuma AZ)
ABCKERO.us  |  (US - ABC KERO Bakersfield CA)
ABCKESQ.us  |  (US - ABC KESQ Palm Springs Indio CA)
ABCKETV.us  |  (US - ABC KETV Omaha NE)
ABCKEVNDT2.us  |  (US - ABC KEVNDT2 Rapid City SD)
ABCKEYT.us  |  (US - ABC KEYT Santa Barbara San Luis Obispo CA)
ABCKEZI.us  |  (US - ABC KEZI Eugene OR)
ABCKFBB.us  |  (US - ABC KFBB Great Falls MT)
ABCKFSN.us  |  (US - ABC KFSN Fresno CA)
ABCKGNSDT2.us  |  (US - ABC KGNS KGNS-DT2 Laredo TX)
ABCKGO.us  |  (US - ABC KGO San Francisco CA)
ABCKGTV.us  |  (US - ABC KGTV San Diego CA)
ABCKGUN.us  |  (US - ABC KGUN Tucson AZ)
ABCKHBB.us  |  (US - ABC KHBB Helena MT)
ABCKHBS.us  |  (US - ABC KHBS Fort Smith AR)
ABCKHGI.us  |  (US - ABC KHGI North Platte NE)
ABCKHQADT2.us  |  (US - ABC KHQA-DT2 KHQA Quincy IL)
ABCKIFI.us  |  (US - ABC KIFI Idaho Falls-Pocatello ID)
ABCKIII.us  |  (US - ABC KIII Corpus Christi TX)
ABCKITV.us  |  (US - ABC KITV Honolulu HI)
ABCKIVI.us  |  (US - ABC KIVI Boise Nampa ID)
ABCKJCT.us  |  (US - ABC KJCT Grand Junction CO)
ABCKJUD.us  |  (US - ABC KJUD Juneau Douglas AK)
ABCKKTQ.us  |  (US - ABC KKTQ Cheyenne WY)
ABCKLAX.us  |  (US - ABC KLAX Alexandria LA)
ABCKLKN.us  |  (US - ABC KLKN Lincoln Superior NE)
ABCKLTV.us  |  (US - ABC KLTV Longview Tyler Nacogdoches Jacksonville TX)
ABCKMBC.us  |  (US - ABC KMBC Kansas City MO)
ABCKMGH.us  |  (US - ABC KMGH Denver CO)
ABCKMID.us  |  (US - ABC KMID Odessa TX)
ABCKMIZ.us  |  (US - ABC KMIZ Columbia Jefferson City MO)
ABCKNOEDT2.us  |  (US - ABC KNOE-DT2 KNOE MONROE LA)
ABCKNXV.us  |  (US - ABC KNXV Phoenix AZ)
ABCKOAT.us  |  (US - ABC KOAT Albuquerque NM)
ABCKOCO.us  |  (US - ABC KOCO Oklahoma City OK)
ABCKODE.us  |  (US - ABC KODE Joplin-Pittsburg MO)
ABCKOHD.us  |  (US - ABC KOHD Bend OR)
ABCKOLO.us  |  (US - ABC KOLO Reno NV)
ABCKOMO.us  |  (US - ABC KOMO Seatle Tacoma WA)
ABCKOTA.us  |  (US - ABC KOTA Rapid City SD)
